model,org,openness,architecture_family,dense_or_moe,total_params,active_params,layers,hidden_size,attention_mechanism,positional_encoding,experts_router,context_window,tokenizer_vocab,modal_encoder,output_modalities,reasoning_test_time_structure,deployment_formats,officially_undisclosed,citation
GPT-5.5,OpenAI,closed,GPT frontier reasoning/product system,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,文本输出;产品工具输出,Pro 使用并行 test-time compute 设置;API 未开放,ChatGPT;Codex,底层模型结构;参数;层数;hidden size;attention;tokenizer;训练结构,S001;S002;S004
GPT-5.4,OpenAI,closed,GPT frontier API model,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,1M,官方未披露,图像输入能力;底层编码器官方未披露,文本输出;computer tool actions via product/API,reasoning effort none/low/medium/high/xhigh,API;Codex;ChatGPT,参数;层数;hidden size;attention;experts;tokenizer,S003
Claude Opus 4.7,Anthropic,closed,hybrid reasoning model,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,1M,官方未披露,图像输入;底层编码器官方未披露,文本输出,effort levels include xhigh; task budgets in beta,Claude products; API; Bedrock; Vertex AI; Microsoft Foundry,参数;层数;hidden size;attention;experts;tokenizer,S005;S006
Gemini 3.1 Pro / Gemini 3 Pro,Google,closed,Gemini multimodal reasoning family,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,1M input / 64k output for Gemini 3 Pro Preview,官方未披露,文本/图像/视频/音频/PDF 输入;底层编码器官方未披露,文本输出,Thinking supported,Gemini API; Vertex AI; Gemini app; NotebookLM,参数;层数;hidden size;attention;experts;tokenizer,S008;S009;S010
Muse Spark,Meta,closed/private preview,Meta AI product model,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,官方未披露,图像理解产品能力;底层编码器官方未披露,文本/产品动作,Instant and Thinking product modes; Meta AI subagents product flow,Meta AI app/site; private preview API for selected partners,底层架构;参数;层数;hidden size;attention;context;tokenizer,S011
Llama 4 Maverick,Meta,open-weight,Llama4 image-text-to-text,MoE,401.6B HF metadata / 400B public spec,17B public active naming,官方未披露,官方未披露,官方未披露,官方未披露,128 routed experts public spec,1M,官方未披露,图像+文本输入;底层编码器细节官方未披露,文本输出,官方未披露,Hugging Face gated; inference providers; local open-weight access subject to license,层数;hidden size;attention;tokenizer;vision encoder细节,S012;S033
Llama 4 Scout,Meta,open-weight,Llama4 image-text-to-text,MoE,109B public spec,17B public active naming,官方未披露,官方未披露,官方未披露,官方未披露,16 experts public spec,10M,官方未披露,图像+文本输入;底层编码器细节官方未披露,文本输出,官方未披露,Hugging Face gated; inference providers; local open-weight access subject to license,层数;hidden size;attention;tokenizer;vision encoder细节,S012;S034
Kimi K2.6,Moonshot,open-weight/API,KimiK25ForConditionalGeneration,MoE,1058589.4M HF metadata,官方未披露;config 给出 8 experts/token,61 text layers; 27 vision layers,7168 text; 1152 vision,DeepSeekV3-style text_config with q_lora_rank 1536 and kv_lora_rank 512; 64 attention heads,YaRN RoPE scaling factor 64; rope_theta 50000,384 routed experts; 8 experts/token; 1 shared expert; noaux_tc topk,262144,163840,vision config patch size 14; spatial-temporal video attention; patchmerger projector,文本输出; image-text-to-text task,thinking/non-thinking modes in model list,Hugging Face; Kimi API; inference providers,完整训练数据;优化器;完整后训练配方;active params,S017;S027
DeepSeek-V3.2,DeepSeek,open-weight/API,DeepseekV32ForCausalLM,MoE,685396.9M HF metadata,官方未披露;config 给出 8 experts/token,61,7168,MLA-style q_lora_rank 1536 / kv_lora_rank 512; DSA index heads 64 topk 2048; 128 attention heads,YaRN RoPE scaling factor 40; rope_theta 10000,256 routed experts; 8 experts/token; 1 shared expert; noaux_tc topk,163840,129280,无,文本输出,thinking in tool-use; V3.2-Speciale no tool-use for evaluation,Hugging Face; API; app; web,完整训练数据差异;完整后训练配方;active params,S014;S028
Qwen3.5-397B-A17B,Qwen,open-weight,Qwen3_5MoeForConditionalGeneration,MoE,403397.9M HF metadata,17B in model name,60 text layers; 27 vision layers,4096 text; 1152 vision,alternating linear_attention and full_attention; full_attention_interval 4; 32 attention heads; 2 KV heads,mrope parameters; rope_theta 10000000; partial_rotary_factor 0.25,512 experts; 10 experts/token; shared expert intermediate size 1024,262144,248320,vision patch size 16; temporal patch size 2; spatial merge size 2,文本输出; image-text-to-text task,官方未披露,Hugging Face; ModelScope; inference providers,完整训练数据;优化器;完整后训练配方,S019;S030
